Competition Title,Competition Date,Category,Rank,FIRST,LAST,Country,Qualification,Semi-final,Final,Semi-Final
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,17,LUCIA,Dï¿½ï¿½R,GER,5T5Z 11 11,1T2Z 2 6,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,18,CAMILLA,MORONI,ITA,5T5Z 16 14,0T4Z 0 12,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,19,SELMA,ELHADJ MIMOUNE,FRA,5T5Z 11 11,0T3Z 0 3,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,20,RYU,NAKAGAWA,JPN,4T5Z 7 8,0T3Z 0 7,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,21,MASHIRO,KUZUU,JPN,4T5Z 8 8,0T0Z 0 0,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,22,SARA,COPAR,SLO,4T4Z 18 16,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,23,AGATHE,CALLIET,FRA,3T5Z 5 8,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,23,IEVGENIIA,KAZBEKOVA,UKR,3T5Z 3 11,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,25,MIA,AOYAGI,JPN,3T5Z 5 16,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,25,GIORGIA,TESIO,ITA,3T5Z 3 12,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,27,STASA,GEJO,SRB,3T5Z 4 6,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,27,SERIKA,OKAWACHI,JPN,3T5Z 6 17,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,29,Zï¿½ï¿,AVEZOU,FRA,3T5Z 8 6,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,29,CHLOE,CAULIER,BEL,3T5Z 5 10,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,31,ORIANE,BERTONE,FRA,3T4Z 5 4,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,31,KATJA,DEBEVEC,SLO,3T5Z 6 7,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,33,KYRA,CONDIE,USA,3T4Z 9 10,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,33,PETRA,KLINGLER,SUI,3T5Z 6 12,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,35,FANNY,GIBERT,FRA,3T4Z 9 12,,,
IFSC WORLD CUP HACHIOJI 2023,21 APRIL - 23 APRIL 2023,BOULDER Women,35,OCEANIA,MACKENZIE,AUS,3T5Z 7 10,,,
